Ano,State,Month,Number,Date
1998,AC,Jan,0,1/1/1998
1999,AC,Jan,0,1/1/1999
2000,AC,Jan,0,1/1/2000
2001,AC,Jan,0,1/1/2001
2002,AC,Jan,0,1/1/2002
2003,AC,Jan,10,1/1/2003
2004,AC,Jan,0,1/1/2004
2005,AC,Jan,12,1/1/2005
2006,AC,Jan,4,1/1/2006
2007,AC,Jan,0,1/1/2007
2008,AC,Jan,0,1/1/2008
2009,AC,Jan,0,1/1/2009
2010,AC,Jan,1,1/1/2010
2011,AC,Jan,0,1/1/2011
2012,AC,Jan,0,1/1/2012
2013,AC,Jan,0,1/1/2013
2014,AC,Jan,0,1/1/2014
2015,AC,Jan,1,1/1/2015
2016,AC,Jan,12,1/1/2016
2017,AC,Jan,0,1/1/2017
1998,AC,Fev,0,1/1/1998
1999,AC,Fev,0,1/1/1999
2000,AC,Fev,0,1/1/2000
2001,AC,Fev,0,1/1/2001
2002,AC,Fev,1,1/1/2002
2003,AC,Fev,0,1/1/2003
2004,AC,Fev,3,1/1/2004
2005,AC,Fev,0,1/1/2005
2006,AC,Fev,0,1/1/2006
2007,AC,Fev,5,1/1/2007
2008,AC,Fev,0,1/1/2008
2009,AC,Fev,2,1/1/2009
2010,AC,Fev,0,1/1/2010
2011,AC,Fev,0,1/1/2011
2012,AC,Fev,0,1/1/2012
2013,AC,Fev,0,1/1/2013
2014,AC,Fev,0,1/1/2014
2015,AC,Fev,2,1/1/2015
2016,AC,Fev,5,1/1/2016
2017,AC,Fev,1,1/1/2017
1998,AC,Mar,0,1/1/1998
1999,AC,Mar,0,1/1/1999
2000,AC,Mar,11,1/1/2000
2001,AC,Mar,0,1/1/2001
2002,AC,Mar,0,1/1/2002
2003,AC,Mar,0,1/1/2003
2004,AC,Mar,0,1/1/2004
2005,AC,Mar,3,1/1/2005
2006,AC,Mar,0,1/1/2006
2007,AC,Mar,2,1/1/2007
2008,AC,Mar,0,1/1/2008
2009,AC,Mar,1,1/1/2009
2010,AC,Mar,0,1/1/2010
2011,AC,Mar,0,1/1/2011
2012,AC,Mar,1,1/1/2012
2013,AC,Mar,2,1/1/2013
2014,AC,Mar,1,1/1/2014
2015,AC,Mar,2,1/1/2015
2016,AC,Mar,0,1/1/2016
2017,AC,Mar,0,1/1/2017
1998,AC,Apr,0,1/1/1998
1999,AC,Apr,0,1/1/1999
2000,AC,Apr,1,1/1/2000
2001,AC,Apr,0,1/1/2001
2002,AC,Apr,0,1/1/2002
2003,AC,Apr,1,1/1/2003
2004,AC,Apr,2,1/1/2004
2005,AC,Apr,1,1/1/2005
2006,AC,Apr,0,1/1/2006
2007,AC,Apr,0,1/1/2007
2008,AC,Apr,0,1/1/2008
2009,AC,Apr,0,1/1/2009
2010,AC,Apr,3,1/1/2010
2011,AC,Apr,2,1/1/2011
2012,AC,Apr,1,1/1/2012
2013,AC,Apr,19,1/1/2013
2014,AC,Apr,7,1/1/2014
2015,AC,Apr,3,1/1/2015
2016,AC,Apr,0,1/1/2016
2017,AC,Apr,1,1/1/2017
1998,AC,May,0,1/1/1998
1999,AC,May,0,1/1/1999
2000,AC,May,1,1/1/2000
2001,AC,May,0,1/1/2001
2002,AC,May,0,1/1/2002
2003,AC,May,6,1/1/2003
2004,AC,May,7,1/1/2004
2005,AC,May,2,1/1/2005
2006,AC,May,8,1/1/2006
2007,AC,May,1,1/1/2007
2008,AC,May,0,1/1/2008
2009,AC,May,3,1/1/2009
2010,AC,May,9,1/1/2010
2011,AC,May,3,1/1/2011
2012,AC,May,3,1/1/2012
2013,AC,May,4,1/1/2013
2014,AC,May,1,1/1/2014
2015,AC,May,2,1/1/2015
2016,AC,May,21,1/1/2016
2017,AC,May,10,1/1/2017
1998,AC,Jun,3,1/1/1998
1999,AC,Jun,0,1/1/1999
2000,AC,Jun,1,1/1/2000
2001,AC,Jun,1,1/1/2001
2002,AC,Jun,0,1/1/2002
2003,AC,Jun,0,1/1/2003
2004,AC,Jun,5,1/1/2004
2005,AC,Jun,27,1/1/2005
2006,AC,Jun,1,1/1/2006
2007,AC,Jun,4,1/1/2007
2008,AC,Jun,0,1/1/2008
2009,AC,Jun,0,1/1/2009
2010,AC,Jun,1,1/1/2010
2011,AC,Jun,10,1/1/2011
2012,AC,Jun,7,1/1/2012
2013,AC,Jun,8,1/1/2013
2014,AC,Jun,17,1/1/2014
2015,AC,Jun,40,1/1/2015
2016,AC,Jun,87,1/1/2016
2017,AC,Jun,45,1/1/2017
1998,AC,Jul,37,1/1/1998
1999,AC,Jul,1,1/1/1999
2000,AC,Jul,1,1/1/2000
2001,AC,Jul,3,1/1/2001
2002,AC,Jul,39,1/1/2002
2003,AC,Jul,168,1/1/2003
2004,AC,Jul,42,1/1/2004
2005,AC,Jul,368,1/1/2005
2006,AC,Jul,33,1/1/2006
2007,AC,Jul,29,1/1/2007
2008,AC,Jul,41,1/1/2008
2009,AC,Jul,31,1/1/2009
2010,AC,Jul,126,1/1/2010
2011,AC,Jul,93,1/1/2011
2012,AC,Jul,71,1/1/2012
2013,AC,Jul,54,1/1/2013
2014,AC,Jul,60,1/1/2014
2015,AC,Jul,109,1/1/2015
2016,AC,Jul,533,1/1/2016
2017,AC,Jul,457,1/1/2017
1998,AC,Aug,130,1/1/1998
1999,AC,Aug,63,1/1/1999
2000,AC,Aug,136,1/1/2000
2001,AC,Aug,396,1/1/2001
2002,AC,Aug,728,1/1/2002
2003,AC,Aug,1.976,1/1/2003
2004,AC,Aug,645,1/1/2004
2005,AC,Aug,4.198,1/1/2005
2006,AC,Aug,839,1/1/2006
2007,AC,Aug,960,1/1/2007
2008,AC,Aug,445,1/1/2008
2009,AC,Aug,194,1/1/2009
2010,AC,Aug,1.682,1/1/2010
2011,AC,Aug,425,1/1/2011
2012,AC,Aug,739,1/1/2012
2013,AC,Aug,679,1/1/2013
2014,AC,Aug,1.1,1/1/2014
2015,AC,Aug,1.397,1/1/2015
2016,AC,Aug,2.188,1/1/2016
2017,AC,Aug,1.493,1/1/2017
1998,AC,Sep,509,1/1/1998
1999,AC,Sep,209,1/1/1999
2000,AC,Sep,265,1/1/2000
2001,AC,Sep,290,1/1/2001
2002,AC,Sep,1.949,1/1/2002
2003,AC,Sep,3.942,1/1/2003
2004,AC,Sep,1.978,1/1/2004
2005,AC,Sep,4.253,1/1/2005
2006,AC,Sep,2.37,1/1/2006
2007,AC,Sep,2.08,1/1/2007
2008,AC,Sep,1.666,1/1/2008
2009,AC,Sep,1.265,1/1/2009
2010,AC,Sep,2.531,1/1/2010
2011,AC,Sep,1.204,1/1/2011
2012,AC,Sep,1.996,1/1/2012
2013,AC,Sep,2.136,1/1/2013
2014,AC,Sep,2.175,1/1/2014
2015,AC,Sep,2.928,1/1/2015
2016,AC,Sep,3.586,1/1/2016
2017,AC,Sep,3.429,1/1/2017
1998,AC,Oct,44,1/1/1998
1999,AC,Oct,60,1/1/1999
2000,AC,Oct,18,1/1/2000
2001,AC,Oct,137,1/1/2001
2002,AC,Oct,687,1/1/2002
2003,AC,Oct,740,1/1/2003
2004,AC,Oct,461,1/1/2004
2005,AC,Oct,547,1/1/2005
2006,AC,Oct,316,1/1/2006
2007,AC,Oct,203,1/1/2007
2008,AC,Oct,652,1/1/2008
2009,AC,Oct,565,1/1/2009
2010,AC,Oct,292,1/1/2010
2011,AC,Oct,97,1/1/2011
2012,AC,Oct,348,1/1/2012
2013,AC,Oct,258,1/1/2013
2014,AC,Oct,406,1/1/2014
2015,AC,Oct,905,1/1/2015
2016,AC,Oct,509,1/1/2016
2017,AC,Oct,1.508,1/1/2017
1998,AC,Nov,0,1/1/1998
1999,AC,Nov,0,1/1/1999
2000,AC,Nov,0,1/1/2000
2001,AC,Nov,1,1/1/2001
2002,AC,Nov,86,1/1/2002
2003,AC,Nov,15,1/1/2003
2004,AC,Nov,10,1/1/2004
2005,AC,Nov,14,1/1/2005
2006,AC,Nov,18,1/1/2006
2007,AC,Nov,7,1/1/2007
2008,AC,Nov,4,1/1/2008
2009,AC,Nov,33,1/1/2009
2010,AC,Nov,39,1/1/2010
2011,AC,Nov,74,1/1/2011
2012,AC,Nov,13,1/1/2012
2013,AC,Nov,79,1/1/2013
2014,AC,Nov,56,1/1/2014
2015,AC,Nov,115,1/1/2015
2016,AC,Nov,46,1/1/2016
2017,AC,Nov,98,1/1/2017
1998,AC,Dec,7,1/1/1998
1999,AC,Dec,0,1/1/1999
2000,AC,Dec,0,1/1/2000
2001,AC,Dec,0,1/1/2001
2002,AC,Dec,1,1/1/2002
2003,AC,Dec,1,1/1/2003
2004,AC,Dec,7,1/1/2004
2005,AC,Dec,2,1/1/2005
2006,AC,Dec,0,1/1/2006
2007,AC,Dec,0,1/1/2007
2008,AC,Dec,0,1/1/2008
2009,AC,Dec,1,1/1/2009
2010,AC,Dec,0,1/1/2010
2011,AC,Dec,4,1/1/2011
2012,AC,Dec,1,1/1/2012
2013,AC,Dec,3,1/1/2013
2014,AC,Dec,6,1/1/2014
2015,AC,Dec,8,1/1/2015
2016,AC,Dec,6,1/1/2016
1998,AL,Jan,0,1/1/1998
1999,AL,Jan,58,1/1/1999
2000,AL,Jan,11,1/1/2000
2001,AL,Jan,5,1/1/2001
2002,AL,Jan,12,1/1/2002
2003,AL,Jan,150,1/1/2003
2004,AL,Jan,9,1/1/2004
2005,AL,Jan,83,1/1/2005
2006,AL,Jan,29,1/1/2006
2007,AL,Jan,33,1/1/2007
2008,AL,Jan,55,1/1/2008
2009,AL,Jan,104,1/1/2009
2010,AL,Jan,23,1/1/2010
2011,AL,Jan,41,1/1/2011
2012,AL,Jan,36,1/1/2012
2013,AL,Jan,49,1/1/2013
2014,AL,Jan,54,1/1/2014
2015,AL,Jan,81,1/1/2015
2016,AL,Jan,24,1/1/2016
2017,AL,Jan,38,1/1/2017
2017,AL,Jan,38,1/1/2017
1998,AL,Fev,0,1/1/1998
1999,AL,Fev,20,1/1/1999
2000,AL,Fev,16,1/1/2000
2001,AL,Fev,4,1/1/2001
2002,AL,Fev,15,1/1/2002
2003,AL,Fev,33,1/1/2003
2004,AL,Fev,7,1/1/2004
2005,AL,Fev,31,1/1/2005
2006,AL,Fev,14,1/1/2006
2007,AL,Fev,28,1/1/2007
2008,AL,Fev,74,1/1/2008
2009,AL,Fev,32,1/1/2009
2010,AL,Fev,26,1/1/2010
2011,AL,Fev,33,1/1/2011
2012,AL,Fev,41,1/1/2012
2013,AL,Fev,19,1/1/2013
2014,AL,Fev,29,1/1/2014
2015,AL,Fev,46,1/1/2015
2016,AL,Fev,14,1/1/2016
2017,AL,Fev,21,1/1/2017
1998,AL,Mar,0,1/1/1998
1999,AL,Mar,52,1/1/1999
2000,AL,Mar,32,1/1/2000
2001,AL,Mar,0,1/1/2001
2002,AL,Mar,27,1/1/2002
2003,AL,Mar,15,1/1/2003
2004,AL,Mar,16,1/1/2004
2005,AL,Mar,35,1/1/2005
2006,AL,Mar,37,1/1/2006
2007,AL,Mar,7,1/1/2007
2008,AL,Mar,31,1/1/2008
2009,AL,Mar,31,1/1/2009
2010,AL,Mar,70,1/1/2010
2011,AL,Mar,34,1/1/2011
2012,AL,Mar,44,1/1/2012
2013,AL,Mar,31,1/1/2013
2014,AL,Mar,28,1/1/2014
2015,AL,Mar,32,1/1/2015
2016,AL,Mar,9,1/1/2016
2017,AL,Mar,23,1/1/2017
1998,AL,Apr,0,1/1/1998
1999,AL,Apr,4,1/1/1999
2000,AL,Apr,20,1/1/2000
2001,AL,Apr,0,1/1/2001
2002,AL,Apr,6,1/1/2002
2003,AL,Apr,20,1/1/2003
2004,AL,Apr,6,1/1/2004
2005,AL,Apr,1,1/1/2005
2006,AL,Apr,2,1/1/2006
2007,AL,Apr,1,1/1/2007
2008,AL,Apr,18,1/1/2008
2009,AL,Apr,5,1/1/2009
2010,AL,Apr,3,1/1/2010
2011,AL,Apr,17,1/1/2011
2012,AL,Apr,18,1/1/2012
2013,AL,Apr,25,1/1/2013
2014,AL,Apr,16,1/1/2014
2015,AL,Apr,63,1/1/2015
2016,AL,Apr,13,1/1/2016
2017,AL,Apr,7,1/1/2017
1998,AL,May,0,1/1/1998
1999,AL,May,1,1/1/1999
2000,AL,May,1,1/1/2000
2001,AL,May,2,1/1/2001
2002,AL,May,1,1/1/2002
2003,AL,May,1,1/1/2003
2004,AL,May,3,1/1/2004
2005,AL,May,0,1/1/2005
2006,AL,May,0,1/1/2006
2007,AL,May,0,1/1/2007
2008,AL,May,0,1/1/2008
2009,AL,May,0,1/1/2009
2010,AL,May,0,1/1/2010
2011,AL,May,0,1/1/2011
2012,AL,May,21,1/1/2012
2013,AL,May,2,1/1/2013
2014,AL,May,1,1/1/2014
2015,AL,May,18,1/1/2015
2016,AL,May,4,1/1/2016
2017,AL,May,1,1/1/2017
1998,AL,Jun,0,1/1/1998
1999,AL,Jun,0,1/1/1999
2000,AL,Jun,0,1/1/2000
2001,AL,Jun,2,1/1/2001
2002,AL,Jun,0,1/1/2002
2003,AL,Jun,0,1/1/2003
2004,AL,Jun,0,1/1/2004
2005,AL,Jun,0,1/1/2005
2006,AL,Jun,0,1/1/2006
2007,AL,Jun,0,1/1/2007
2008,AL,Jun,0,1/1/2008
2009,AL,Jun,0,1/1/2009
2010,AL,Jun,0,1/1/2010
2011,AL,Jun,2,1/1/2011
2012,AL,Jun,4,1/1/2012
2013,AL,Jun,1,1/1/2013
2014,AL,Jun,2,1/1/2014
2015,AL,Jun,2,1/1/2015
2016,AL,Jun,5,1/1/2016
2017,AL,Jun,2,1/1/2017
1998,AL,Jul,0,1/1/1998
1999,AL,Jul,0,1/1/1999
2000,AL,Jul,0,1/1/2000
2001,AL,Jul,0,1/1/2001
2002,AL,Jul,5,1/1/2002
2003,AL,Jul,0,1/1/2003
2004,AL,Jul,0,1/1/2004
2005,AL,Jul,0,1/1/2005
2006,AL,Jul,0,1/1/2006
2007,AL,Jul,0,1/1/2007
2008,AL,Jul,0,1/1/2008
2009,AL,Jul,0,1/1/2009
2010,AL,Jul,2,1/1/2010
2011,AL,Jul,0,1/1/2011
2012,AL,Jul,0,1/1/2012
2013,AL,Jul,0,1/1/2013
2014,AL,Jul,1,1/1/2014
2015,AL,Jul,0,1/1/2015
2016,AL,Jul,3,1/1/2016
2017,AL,Jul,0,1/1/2017
1998,AL,Aug,1,1/1/1998
1999,AL,Aug,3,1/1/1999
2000,AL,Aug,4,1/1/2000
2001,AL,Aug,1,1/1/2001
2002,AL,Aug,3,1/1/2002
2003,AL,Aug,2,1/1/2003
2004,AL,Aug,2,1/1/2004
2005,AL,Aug,2,1/1/2005
2006,AL,Aug,1,1/1/2006
2007,AL,Aug,3,1/1/2007
2008,AL,Aug,1,1/1/2008
2009,AL,Aug,0,1/1/2009
2010,AL,Aug,1,1/1/2010
2011,AL,Aug,4,1/1/2011
2012,AL,Aug,0,1/1/2012
2013,AL,Aug,0,1/1/2013
2014,AL,Aug,3,1/1/2014
2015,AL,Aug,3,1/1/2015
2016,AL,Aug,5,1/1/2016
2017,AL,Aug,1,1/1/2017
1998,AL,Sep,14,1/1/1998
1999,AL,Sep,3,1/1/1999
2000,AL,Sep,22,1/1/2000
2001,AL,Sep,5,1/1/2001
2002,AL,Sep,14,1/1/2002
2003,AL,Sep,8,1/1/2003
2004,AL,Sep,5,1/1/2004
2005,AL,Sep,7,1/1/2005
2006,AL,Sep,4,1/1/2006
2007,AL,Sep,2,1/1/2007
2008,AL,Sep,9,1/1/2008
2009,AL,Sep,13,1/1/2009
2010,AL,Sep,5,1/1/2010
2011,AL,Sep,5,1/1/2011
2012,AL,Sep,6,1/1/2012
2013,AL,Sep,4,1/1/2013
2014,AL,Sep,11,1/1/2014
2015,AL,Sep,7,1/1/2015
2016,AL,Sep,18,1/1/2016
2017,AL,Sep,4,1/1/2017
1998,AL,Oct,20,1/1/1998
1999,AL,Oct,4,1/1/1999
2000,AL,Oct,13,1/1/2000
2001,AL,Oct,15,1/1/2001
2002,AL,Oct,30,1/1/2002
2003,AL,Oct,10,1/1/2003
2004,AL,Oct,12,1/1/2004
2005,AL,Oct,17,1/1/2005
2006,AL,Oct,32,1/1/2006
2007,AL,Oct,6,1/1/2007
2008,AL,Oct,18,1/1/2008
2009,AL,Oct,30,1/1/2009
2010,AL,Oct,16,1/1/2010
2011,AL,Oct,23,1/1/2011
2012,AL,Oct,28,1/1/2012
2013,AL,Oct,25,1/1/2013
2014,AL,Oct,7,1/1/2014
2015,AL,Oct,40,1/1/2015
2016,AL,Oct,74,1/1/2016
2017,AL,Oct,14,1/1/2017
1998,AL,Nov,19,1/1/1998
1999,AL,Nov,15,1/1/1999
2000,AL,Nov,2,1/1/2000
2001,AL,Nov,22,1/1/2001
2002,AL,Nov,50,1/1/2002
2003,AL,Nov,17,1/1/2003
2004,AL,Nov,28,1/1/2004
2005,AL,Nov,25,1/1/2005
2006,AL,Nov,12,1/1/2006
2007,AL,Nov,15,1/1/2007
2008,AL,Nov,37,1/1/2008
2009,AL,Nov,55,1/1/2009
2010,AL,Nov,31,1/1/2010
2011,AL,Nov,23,1/1/2011
2012,AL,Nov,95,1/1/2012
2013,AL,Nov,10,1/1/2013
2014,AL,Nov,14,1/1/2014
2015,AL,Nov,162,1/1/2015
2016,AL,Nov,76,1/1/2016
2017,AL,Nov,10,1/1/2017
1998,AL,Dec,32,1/1/1998
1999,AL,Dec,12,1/1/1999
2000,AL,Dec,2,1/1/2000
2001,AL,Dec,30,1/1/2001
2002,AL,Dec,95,1/1/2002
2003,AL,Dec,43,1/1/2003
2004,AL,Dec,71,1/1/2004
2005,AL,Dec,16,1/1/2005
2006,AL,Dec,30,1/1/2006
2007,AL,Dec,33,1/1/2007
2008,AL,Dec,34,1/1/2008
2009,AL,Dec,55,1/1/2009
2010,AL,Dec,45,1/1/2010
2011,AL,Dec,50,1/1/2011
2012,AL,Dec,59,1/1/2012
2013,AL,Dec,42,1/1/2013
2014,AL,Dec,24,1/1/2014
2015,AL,Dec,136,1/1/2015
2016,AL,Dec,155,1/1/2016
1998,AP,Jan,0,1/1/1998
1999,AP,Jan,0,1/1/1999
2000,AP,Jan,2,1/1/2000
2001,AP,Jan,0,1/1/2001
2002,AP,Jan,7,1/1/2002
2003,AP,Jan,31,1/1/2003
2004,AP,Jan,38,1/1/2004
2005,AP,Jan,109,1/1/2005
2006,AP,Jan,6,1/1/2006
2007,AP,Jan,0,1/1/2007
2008,AP,Jan,2,1/1/2008
2009,AP,Jan,4,1/1/2009
2010,AP,Jan,2,1/1/2010
2011,AP,Jan,0,1/1/2011
2012,AP,Jan,30,1/1/2012
2013,AP,Jan,3,1/1/2013
2014,AP,Jan,10,1/1/2014
2015,AP,Jan,14,1/1/2015
2016,AP,Jan,19,1/1/2016
2017,AP,Jan,2,1/1/2017
1998,AP,Fev,0,1/1/1998
1999,AP,Fev,1,1/1/1999
2000,AP,Fev,0,1/1/2000
2001,AP,Fev,0,1/1/2001
2002,AP,Fev,2,1/1/2002
2003,AP,Fev,0,1/1/2003
2004,AP,Fev,2,1/1/2004
2005,AP,Fev,1,1/1/2005
2006,AP,Fev,2,1/1/2006
2007,AP,Fev,0,1/1/2007
2008,AP,Fev,0,1/1/2008
2009,AP,Fev,0,1/1/2009
2010,AP,Fev,0,1/1/2010
2011,AP,Fev,3,1/1/2011
2012,AP,Fev,5,1/1/2012
2013,AP,Fev,0,1/1/2013
2014,AP,Fev,2,1/1/2014
2015,AP,Fev,1,1/1/2015
2016,AP,Fev,1,1/1/2016
2017,AP,Fev,0,1/1/2017
1998,AP,Mar,0,1/1/1998
1999,AP,Mar,2,1/1/1999
2000,AP,Mar,0,1/1/2000
2001,AP,Mar,0,1/1/2001
2002,AP,Mar,0,1/1/2002
2003,AP,Mar,1,1/1/2003
2004,AP,Mar,0,1/1/2004
2005,AP,Mar,0,1/1/2005
2006,AP,Mar,0,1/1/2006
2007,AP,Mar,0,1/1/2007
2008,AP,Mar,1,1/1/2008
2009,AP,Mar,1,1/1/2009
2010,AP,Mar,2,1/1/2010
2011,AP,Mar,0,1/1/2011
2012,AP,Mar,1,1/1/2012
2013,AP,Mar,0,1/1/2013
2014,AP,Mar,1,1/1/2014
2015,AP,Mar,2,1/1/2015
2016,AP,Mar,5,1/1/2016
2017,AP,Mar,0,1/1/2017
1998,AP,Apr,0,1/1/1998
1999,AP,Apr,0,1/1/1999
2000,AP,Apr,0,1/1/2000
2001,AP,Apr,0,1/1/2001
2002,AP,Apr,0,1/1/2002
2003,AP,Apr,2,1/1/2003
2004,AP,Apr,0,1/1/2004
2005,AP,Apr,0,1/1/2005
2006,AP,Apr,0,1/1/2006
2007,AP,Apr,0,1/1/2007
2008,AP,Apr,2,1/1/2008
2009,AP,Apr,0,1/1/2009
2010,AP,Apr,2,1/1/2010
2011,AP,Apr,0,1/1/2011
2012,AP,Apr,2,1/1/2012
2013,AP,Apr,2,1/1/2013
2014,AP,Apr,0,1/1/2014
2015,AP,Apr,0,1/1/2015
2016,AP,Apr,0,1/1/2016
2017,AP,Apr,3,1/1/2017
1998,AP,May,0,1/1/1998
1999,AP,May,0,1/1/1999
2000,AP,May,0,1/1/2000
2001,AP,May,0,1/1/2001
2002,AP,May,3,1/1/2002
2003,AP,May,0,1/1/2003
2004,AP,May,0,1/1/2004
2005,AP,May,0,1/1/2005
2006,AP,May,0,1/1/2006
2007,AP,May,0,1/1/2007
2008,AP,May,0,1/1/2008
2009,AP,May,2,1/1/2009
2010,AP,May,2,1/1/2010
2011,AP,May,2,1/1/2011
2012,AP,May,2,1/1/2012
2013,AP,May,0,1/1/2013
2014,AP,May,0,1/1/2014
2015,AP,May,0,1/1/2015
2016,AP,May,1,1/1/2016
2017,AP,May,1,1/1/2017
1998,AP,Jun,0,1/1/1998
1999,AP,Jun,2,1/1/1999
2000,AP,Jun,0,1/1/2000
2001,AP,Jun,0,1/1/2001
2002,AP,Jun,0,1/1/2002
2003,AP,Jun,0,1/1/2003
2004,AP,Jun,5,1/1/2004
2005,AP,Jun,2,1/1/2005
2006,AP,Jun,0,1/1/2006
2007,AP,Jun,0,1/1/2007
2008,AP,Jun,0,1/1/2008
2009,AP,Jun,1,1/1/2009
2010,AP,Jun,0,1/1/2010
2011,AP,Jun,0,1/1/2011
2012,AP,Jun,7,1/1/2012
2013,AP,Jun,1,1/1/2013
2014,AP,Jun,0,1/1/2014
2015,AP,Jun,3,1/1/2015
2016,AP,Jun,2,1/1/2016
2017,AP,Jun,2,1/1/2017
1998,AP,Jul,0,1/1/1998
1999,AP,Jul,0,1/1/1999
2000,AP,Jul,0,1/1/2000
2001,AP,Jul,1,1/1/2001
2002,AP,Jul,1,1/1/2002
2003,AP,Jul,0,1/1/2003
2004,AP,Jul,2,1/1/2004
2005,AP,Jul,0,1/1/2005
2006,AP,Jul,0,1/1/2006
2007,AP,Jul,0,1/1/2007
2008,AP,Jul,0,1/1/2008
2009,AP,Jul,4,1/1/2009
2010,AP,Jul,2,1/1/2010
2011,AP,Jul,5,1/1/2011
2012,AP,Jul,3,1/1/2012
2013,AP,Jul,1,1/1/2013
2014,AP,Jul,4,1/1/2014
2015,AP,Jul,5,1/1/2015
2016,AP,Jul,1,1/1/2016
2017,AP,Jul,3,1/1/2017
1998,AP,Aug,1,1/1/1998
1999,AP,Aug,0,1/1/1999
2000,AP,Aug,3,1/1/2000
2001,AP,Aug,12,1/1/2001
2002,AP,Aug,18,1/1/2002
2003,AP,Aug,14,1/1/2003
2004,AP,Aug,9,1/1/2004
2005,AP,Aug,4,1/1/2005
2006,AP,Aug,11,1/1/2006
2007,AP,Aug,5,1/1/2007
2008,AP,Aug,4,1/1/2008
2009,AP,Aug,20,1/1/2009
2010,AP,Aug,1,1/1/2010
2011,AP,Aug,16,1/1/2011
2012,AP,Aug,19,1/1/2012
2013,AP,Aug,9,1/1/2013
2014,AP,Aug,18,1/1/2014
2015,AP,Aug,40,1/1/2015
2016,AP,Aug,37,1/1/2016
2017,AP,Aug,33,1/1/2017
1998,AP,Sep,20,1/1/1998
1999,AP,Sep,4,1/1/1999
2000,AP,Sep,19,1/1/2000
2001,AP,Sep,95,1/1/2001
2002,AP,Sep,73,1/1/2002
2003,AP,Sep,88,1/1/2003
2004,AP,Sep,67,1/1/2004
2005,AP,Sep,97,1/1/2005
2006,AP,Sep,112,1/1/2006
2007,AP,Sep,61,1/1/2007
2008,AP,Sep,83,1/1/2008
2009,AP,Sep,188,1/1/2009
2010,AP,Sep,63,1/1/2010
2011,AP,Sep,128,1/1/2011
2012,AP,Sep,168,1/1/2012
2013,AP,Sep,85,1/1/2013
2014,AP,Sep,137,1/1/2014
2015,AP,Sep,192,1/1/2015
2016,AP,Sep,142,1/1/2016
2017,AP,Sep,95,1/1/2017
1998,AP,Oct,42,1/1/1998
1999,AP,Oct,25,1/1/1999
2000,AP,Oct,42,1/1/2000
2001,AP,Oct,194,1/1/2001
2002,AP,Oct,557,1/1/2002
2003,AP,Oct,355,1/1/2003
2004,AP,Oct,412,1/1/2004
2005,AP,Oct,335,1/1/2005
2006,AP,Oct,405,1/1/2006
2007,AP,Oct,162,1/1/2007
2008,AP,Oct,395,1/1/2008
2009,AP,Oct,765,1/1/2009
2010,AP,Oct,265,1/1/2010
2011,AP,Oct,304,1/1/2011
2012,AP,Oct,475,1/1/2012
2013,AP,Oct,385,1/1/2013
2014,AP,Oct,480,1/1/2014
2015,AP,Oct,827,1/1/2015
2016,AP,Oct,793,1/1/2016
2017,AP,Oct,468,1/1/2017
1998,AP,Nov,131,1/1/1998
1999,AP,Nov,26,1/1/1999
2000,AP,Nov,157,1/1/2000
2001,AP,Nov,406,1/1/2001
2002,AP,Nov,1.096,1/1/2002
2003,AP,Nov,750,1/1/2003
2004,AP,Nov,949,1/1/2004
2005,AP,Nov,685,1/1/2005
2006,AP,Nov,207,1/1/2006
2007,AP,Nov,198,1/1/2007
2008,AP,Nov,266,1/1/2008
2009,AP,Nov,1.019,1/1/2009
2010,AP,Nov,339,1/1/2010
2011,AP,Nov,282,1/1/2011
2012,AP,Nov,969,1/1/2012
2013,AP,Nov,341,1/1/2013
2014,AP,Nov,484,1/1/2014
2015,AP,Nov,1.3,1/1/2015
2016,AP,Nov,1.161,1/1/2016
2017,AP,Nov,858,1/1/2017
1998,AP,Dec,84,1/1/1998
1999,AP,Dec,41,1/1/1999
2000,AP,Dec,30,1/1/2000
2001,AP,Dec,593,1/1/2001
2002,AP,Dec,200,1/1/2002
2003,AP,Dec,411,1/1/2003
2004,AP,Dec,777,1/1/2004
2005,AP,Dec,38,1/1/2005
2006,AP,Dec,74,1/1/2006
2007,AP,Dec,14,1/1/2007
2008,AP,Dec,32,1/1/2008
2009,AP,Dec,123,1/1/2009
2010,AP,Dec,43,1/1/2010
2011,AP,Dec,360,1/1/2011
2012,AP,Dec,422,1/1/2012
2013,AP,Dec,148,1/1/2013
2014,AP,Dec,354,1/1/2014
2015,AP,Dec,269,1/1/2015
2016,AP,Dec,491,1/1/2016
1998,AM,Jan,0,1/1/1998
1999,AM,Jan,3,1/1/1999
2000,AM,Jan,7,1/1/2000
2001,AM,Jan,3,1/1/2001
2002,AM,Jan,17,1/1/2002
2003,AM,Jan,158,1/1/2003
2004,AM,Jan,123,1/1/2004
2005,AM,Jan,44,1/1/2005
2006,AM,Jan,20,1/1/2006
2007,AM,Jan,37,1/1/2007
2008,AM,Jan,16,1/1/2008
2009,AM,Jan,9,1/1/2009
2010,AM,Jan,82,1/1/2010
2011,AM,Jan,53,1/1/2011
2012,AM,Jan,6,1/1/2012
2013,AM,Jan,37,1/1/2013
2014,AM,Jan,46,1/1/2014
2015,AM,Jan,35,1/1/2015
2016,AM,Jan,770,1/1/2016
2017,AM,Jan,65,1/1/2017
1998,AM,Fev,0,1/1/1998
